Series Name,Series Code,Country Name,Country Code,"2012 [YR2012] =AVERAGE(IF(ISBLANK(2012[YR2012]:2012[YR2012]), """", 2012[YR2012]:2012[YR2012))",2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Rwanda,RWA,337000000,364000000,376000000,427000000,443000000,496500000,547000000,635900024.4,212000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Samoa,WSM,148199996.9,137199996.9,147699996.9,142399993.9,148699996.9,167000000,192300003.1,206100006.1,23059999.47
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,San Marino,SMR,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Sao Tome and Principe,STP,15000000,30900000,56100000,62500000,69100000,65900000,71900000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Saudi Arabia,SAU,8400000000,8690000000,9263000000,11183000000,13438000000,15020000000,16974000000,19849000000,5960000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Senegal,SEN,469000000,495000000,482000000,417000000,439000000,470000000,557000000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Serbia,SRB,1080000000,1221000000,1352000000,1322000000,1461000000,1706000000,1941000000,2000000000,1422000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Seychelles,SYC,429000000,484000000,481000000,483000000,505000000,585000000,611000000,618000000,228000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Sierra Leone,SLE,47000000,66000000,35000000,37000000,41000000,39000000,39000000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Singapore,SGP,18795000000,19231000000,19161000000,16617000000,18944000000,19891000000,20416000000,3456000,3456000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Sint Maarten (Dutch part),SXM,854000000,871000000,922000000,913000000,871000000,646000000,468000000,708000000,243000000
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,Slovak Republic,SVK,2365000000,2702000000,2642000000,2480000000,2812000000,3024000000,3318000000,3350000000,1303000000
